,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_data,full_data,1000,1000,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.309972244170115,1.350428293260668,7.1578046875,1.5,2.0,3.25,4.0,4.75,0.0,9.5
1,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.5124385309145714,2.1941774432923156,16.9590625,2.0,3.0,4.25,6.600000000000001,8.399999999999995,0.75,9.0
2,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.386847794882917,1.2206801400169616,7.1275,1.5811388300841898,2.0,3.0,3.9000000000000004,4.199999999999999,0.0,5.75
3,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,1.961749938830846,1.258036531289753,5.3678125,1.25,2.0,2.25,3.950000000000001,4.449999999999999,0.0,5.0
4,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.669058809591999,2.40060475035414,19.2191328125,2.25,3.322508465000503,4.889401803901986,6.75,8.633148324916004,0.0,10.5
5,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.199402866275392,2.473244073931714,16.1084375,1.6770509831248424,3.0,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
6,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.405451163113126,2.516500727624956,17.6765625,1.9121323175972944,3.2015621187164243,4.5,6.604407954888961,8.256518659932798,0.0,9.0
7,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.322715079080585,2.3976175247634077,16.5590625,2.1213203435596424,2.6516504294495533,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
8,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.6644570138790233,2.376600755192714,19.070828125,1.9121323175972944,3.3541019662496847,4.756574397610112,6.75,8.633148324916004,0.0,10.25
9,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.2721772850353266,2.57075262879109,17.0515625,1.6770509831248424,2.3048861143232218,4.5,6.604407954888961,8.256518659932798,0.0,10.25
10,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.2394169393888803,2.4474801865048326,16.244375,1.7787811838447134,2.6516504294495533,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
11,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.453016231561748,2.3425255478354066,17.19125,1.9121323175972944,2.6516504294495533,4.5,6.604407954888961,8.256518659932798,0.0,9.0
12,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.485946628111025,2.3909747078367563,17.8628671875,1.9121323175972944,3.092329219213245,4.5,6.75,8.633148324916004,0.0,10.5
13,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.3088770057624664,2.3516717149580564,16.2578125,1.8729155079714621,2.6516504294495533,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
14,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.2071634531702777,2.4902236104098368,16.2390625,1.9121323175972944,2.6516504294495533,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
15,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.317702208655811,2.4116637269649965,16.590625,2.1213203435596424,2.75,4.142010381445223,6.604407954888961,8.256518659932798,0.0,9.0
16,full_data,full_data,1000,1000,KNeighborsRegressor,8,uniform,euclidean,-100.0,dBm,StandardScaler,2.2861990730649158,1.3264727252031356,6.9844765625,1.5,2.0,3.0,4.0,4.762499999999989,0.0,8.0
