,filename,x,y,floor,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:12:da:9e:32:31,00:12:da:9e:32:32,00:15:f9:6c:7d:72,00:15:f9:6c:7d:71,00:15:f9:6c:7d:70,00:12:da:9e:32:30,00:11:21:66:75:82,00:11:21:66:75:81,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:11:21:6c:50:e2,00:11:21:6c:4e:71,00:11:21:66:75:80,00:15:f9:6c:7a:d2,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:15:f9:6c:7a:d1,00:11:21:6c:50:e1,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:15:f9:6c:7a:d0,00:0f:60:06:71:2e,00:17:df:7d:70:51,00:17:df:7d:70:52,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:12:80:17:ac:ae,00:1b:fc:22:43:4e,00:12:43:f1:c4:40,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16,00:12:43:f1:c4:42,00:12:43:f1:c4:41,bc:14:01:9c:37:08,bc:14:01:9c:37:09,00:12:da:9e:31:91
0,"altPoint(0,1).json",0.0,0.5,2,224.16597,0,1461872264490,-62.0,-62.0,-62.0,,,-87.0,-80.0,-87.0,,,,,,,,,-71.0,,,-71.0,,,,-70.0,,-86.0,-84.0,-86.0,,,,,,,,,,,
1,"altPoint(0,1).json",0.0,0.5,2,224.16597,1,1461872264490,-55.0,-56.0,-56.0,,,-87.0,-84.0,-87.0,,,-86.0,,,,,-88.0,-71.0,,,-72.0,,,,-72.0,,-86.0,-85.0,-86.0,-88.0,,,,,,,,,,
2,"altPoint(0,1).json",0.0,0.5,2,224.16597,2,1461872264490,-55.0,-55.0,-55.0,,,-86.0,-82.0,,,-87.0,-85.0,,,,,-88.0,-71.0,,,-71.0,,,,-71.0,,-87.0,-86.0,-85.0,-88.0,,,,,,,,,,
3,"altPoint(0,1).json",0.0,0.5,2,224.16597,3,1461872264490,-55.0,-56.0,-56.0,,,-86.0,-80.0,-81.0,,-87.0,-88.0,,,,,-86.0,-70.0,,,-70.0,,,,-70.0,,-86.0,-84.0,-86.0,-90.0,,,,,,,,,,
4,"altPoint(0,1).json",0.0,0.5,2,224.16597,4,1461872264490,-55.0,-55.0,-55.0,,,-87.0,-84.0,-81.0,,-86.0,-87.0,,,,,-86.0,-69.0,,,-70.0,,,,-70.0,,-84.0,-86.0,-85.0,-90.0,,,,,,,,,,
5,"altPoint(0,1).json",0.0,0.5,2,224.16597,5,1461872264490,-56.0,-56.0,-56.0,,,-87.0,-86.0,,,-86.0,-88.0,,,,,-86.0,-70.0,,,-70.0,,,,-70.0,,-83.0,-86.0,-85.0,-90.0,,,,,,,,,,
6,"altPoint(0,1).json",0.0,0.5,2,224.16597,6,1461872264490,-56.0,-57.0,-56.0,,,-81.0,-82.0,-85.0,,-87.0,-88.0,,,,,-86.0,-69.0,,,-69.0,,,,-69.0,,-86.0,-85.0,-86.0,-89.0,,,,,,,,,,
7,"altPoint(0,1).json",0.0,0.5,2,224.16597,7,1461872264490,-56.0,-55.0,-55.0,,,-81.0,-84.0,-86.0,,-86.0,-86.0,,,,,-87.0,-70.0,,,-70.0,,,,-69.0,,-86.0,-87.0,-86.0,-89.0,,,,,,,,,,
8,"altPoint(0,1).json",0.0,0.5,2,224.16597,8,1461872264490,-56.0,-56.0,-55.0,,,-86.0,-84.0,-86.0,,-87.0,-86.0,,,,,-86.0,-69.0,,,-70.0,,,,-70.0,,-87.0,-86.0,-85.0,-89.0,,,,,,,,,,
9,"altPoint(0,1).json",0.0,0.5,2,224.16597,9,1461872264490,-56.0,-56.0,-55.0,,,-86.0,-87.0,,,-87.0,-86.0,,,,,-86.0,-69.0,,,-70.0,,,,-70.0,,-87.0,-86.0,-85.0,-89.0,,,,,,,,,,
