,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.6363396107681796,2.1315916585668497,11.312222222222221,1.4142135623730951,2.333333333333333,3.8005847503304593,4.666666666666668,6.533333333333327,0.0,8.333333333333332
1,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.02833703556872,1.9886126396165709,12.967222222222222,2.333333333333332,2.418103021424485,3.92286743197994,6.06666666666667,7.0,0.0,7.0
2,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.931612914711741,1.9499172425654199,12.244444444444445,2.0275875100994067,2.687419249432851,4.346134936801765,4.666666666666668,6.533333333333327,0.0,7.0
3,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.388119487123243,2.1446111090115396,16.07411111111111,2.333333333333332,2.8284271247461903,4.666666666666668,7.0,7.0,0.0,10.333333333333332
4,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.249100384686726,2.2380112754381054,15.365,2.0138409955990952,2.333333333333333,4.666666666666667,6.400000000000001,6.933333333333333,0.0,8.333333333333332
5,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.3733097961959704,2.1013555342194468,9.871666666666668,0.0,2.333333333333332,3.2829526005987018,4.666666666666668,6.533333333333327,0.0,7.0
6,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.7041496525028474,2.152146105673168,11.758888888888887,1.6666666666666656,2.333333333333332,4.196559437338058,4.817090365053053,6.583474566128789,0.0,8.333333333333332
7,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.1951657922678285,2.2341581363133427,15.195555555555554,2.0,2.687419249432851,4.666666666666667,6.700000000000009,7.333333333333332,0.0,12.0
8,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.8166870069360486,1.9855225063493405,11.718333333333332,1.8856180831641276,2.333333333333333,3.5433819375782165,4.666666666666668,6.533333333333327,0.0,8.333333333333332
9,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.571427116350219,2.0787411407043006,10.760555555555557,0.47140452079103123,2.333333333333333,3.8005847503304593,4.666666666666668,6.533333333333327,0.0,7.0
10,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.5590417050588066,2.0750320715372736,10.682222222222222,0.47140452079103123,2.333333333333333,3.8005847503304593,4.666666666666668,6.533333333333327,0.0,7.0
11,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.0380546364887415,2.0660195805124046,13.493944444444445,2.0,2.418103021424485,4.666666666666667,5.0517196789500485,7.0,0.0,10.333333333333332
12,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,6,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.670897653673324,2.5084485426269114,19.516111111111112,2.0,3.0,4.666666666666667,6.800000000000002,8.666666666666663,0.0,10.666666666666664
